"","okres","pierwotna","finalna","co2","grupa","przetarg","kategoria","przeszle.przyszle","nowy.stary","data_zak","data_wyd","rok_zak","rok_wyd"
"1",15,47,0,110,"D",1,1,"","stary",2012-08-01,2014-01-13,2012,2014
"2",10,25,0,102,"C",2,1,"","stary",2012-12-29,2015-02-06,2012,2015
"3",10,24,0,38,"D",2,1,"","stary",2012-06-26,2015-02-18,2012,2015
"4",10,15,0,23,"D",2,1,"","stary",2013-12-02,2015-02-18,2013,2015
"5",10,15,0,24,"D",2,1,"","stary",2012-02-13,2015-02-18,2012,2015
"6",10,16,0,25,"D",2,1,"","stary",2013-12-13,2015-02-18,2013,2015
"7",10,31,0,-45,"D",2,1,"","stary",2011-02-16,2015-02-18,2011,2015
"8",10,18,0,28,"D",2,1,"","stary",2013-12-13,2015-02-18,2013,2015
"9",10,14,0,22,"D",2,1,"","stary",2011-11-30,2015-02-18,2011,2015
"10",10,23,0,35,"D",2,1,"","stary",2012-08-01,2015-02-18,2012,2015
"11",10,11,0,18,"D",2,1,"","stary",2012-12-10,2015-02-18,2012,2015
"12",15,145,0,4768,"D",3,1,"","stary",2012-02-29,2015-10-15,2012,2015
"13",15,99,0,231,"D",3,1,"","stary",2014-10-09,2015-10-20,2014,2015
"14",10,93,0,462,"D",3,1,"","stary",2012-11-30,2015-10-28,2012,2015
"15",2,12,0,41,"D",3,1,"","stary",2014-11-10,2015-10-28,2014,2015
"16",10,10,0,50,"B",3,1,"","stary",2014-09-30,2015-10-27,2014,2015
"17",2,14,0,50,"D",3,1,"","stary",2014-11-10,2015-10-28,2014,2015
"18",10,103,0,427,"D",3,1,"","stary",2013-03-14,2015-10-29,2013,2015
"19",2,37,0,139,"D",3,1,"","stary",2014-12-09,2015-10-30,2014,2015
"20",10,75,0,290,"D",3,1,"","stary",2013-12-07,2015-10-30,2013,2015
"21",10,118,0,275,"D",3,1,"","stary",2013-09-18,2015-10-30,2013,2015
"22",10,87,0,346,"D",3,1,"","stary",2012-12-28,2015-10-30,2012,2015
"23",7,31,0,122,"D",3,1,"","stary",2013-03-31,2015-10-30,2013,2015
"24",2,24,0,91,"D",3,1,"","stary",2014-11-10,2015-10-30,2014,2015
"25",10,278,0,1372,"D",3,1,"","stary",2013-09-13,2015-10-30,2013,2015
"26",6,23,0,92,"D",3,1,"","stary",2013-08-27,2015-11-06,2013,2015
